uniqueID	area	Shell_Mass1	Shell_Mass2
1	NA	NA	NA
2	80.9384898378	156.8	152.7
3	73.3343553054	132.1	131.9
4	60.320626893	135	134.9
5	71.5886647398	114.8	114
6	74.6469128475	128.6	127.4
7	73.5208205284	151	152.2
8	68.0045230996	120	120.8
9	76.1663466772	103.9	104.5
10	92.6280116824	174.7	174.7
11	84.4242306784	181	180.5
12	97.5552179688	201.1	200.1
13	105.5046917052	200.3	200.2
14	92.9652042168	191.3	191.3
15	83.9371884768	214.4	214.6
16	NA	NA	NA
17	NA	NA	NA
18	79.2415080108	159.5	158.8
19	73.6565686436	131	130.2
20	81.1372248252	144.6	144.9
21	82.9696728695	295.4	295.3
22	85.2949162835	241.1	241.1
23	82.782446422	149	148.8
24	82.489105335	176.2	176.4
25	65.591865248	125.5	125.9
26	73.2730561108	130.7	131.2
27	77.8297009126	171.5	171.8
28	72.0737097262	120.6	120.6
29	70.937379744	142.1	142.3
30	83.3734317504	144.5	144.4
31	73.4540100096	150.8	150.6
32	70.7304986784	129.8	130.6
34	82.0041318824	177.5	177.4
35	79.4493610456	139.4	139.2
36	61.811340682	135.1	135.0
37	67.1798699208	139.3	139.2
38	64.320618544	89.5	89.1
39	66.7713194091	125.2	126.1
40	64.4642383329	131.2	131.8
41	80.6893116516	159.6	159.7
42	83.9443696686	204.1	204.0
43	73.2973313979	123.3	123.2
44	76.0020194304	150.6	151.3
45	83.972107072	127.8	128.0
46	61.7092161056	107.7	107.6
47	76.9713155456	135.7	136.1
48	71.2723864944	140	140.6
49	93.1394930274	181.4	180.8
50	69.2056086815	125.9	126.7
51	68.6760054015	131.2	132.5
52	66.854747132	103.8	106.2
53	76.9584026795	134.2	137.8
54	65.663609316	140.2	140.4
55	58.697732782	139	139.2
56	86.480965376	175.5	175.4
57	80.9679458848	146.1	146.3
58	74.2638243984	116.6	115.7
59	69.7458758048	192	192
60	87.5484825488	185	185.7
61	80.4924807467	144	144.4
62	75.7869282722	131.1	131.7
63	75.7311508665	127.6	128.6
64	79.1161643793	149.9	151.3
65	69.2609718053	154.1	153.9
66	82.695555882	159.3	159.6
67	73.849090959	130.3	130.7
68	66.0411055305	103	103.9
69	80.0497278585	135.2	135.9
70	79.3659465675	135.7	135.1
71	72.2680759248	130.9	131
72	67.9153860189	114.8	114.6
73	77.7855551667	144.2	144
74	69.5691738048	129.4	129.8
75	83.3513305518	158.9	158.1
76	70.701653568	154.7	154.9
77	91.725499428	243.7	244.1
78	70.44928944	126.8	127.2
79	76.447899696	163.8	164.4
80	71.736630048	130.7	130.1
81	71.032524198	106.5	107
82	84.2208214534	159.9	159
83	74.1899997964	113.6	113.2
84	58.8407251026	159.8	159.3
85	88.1505831258	160.9	160.5
86	76.7241942252	124.4	123.7
87	68.6471404884	145.1	144.6
88	82.9736608932	181	180.8
89	68.236075512	141.3	141.8
90	87.2552028384	155.3	155.3
91	83.994971811	151.9	151.8
92	76.859006562	137.1	136.7
93	72.249963295	123.1	123.0
94	83.6335269065	177.1	177.4
95	75.4760098175	134.7	133.9
96	79.1166394793	130	130.0
97	66.7624689569	104.3	104.9
98	66.1002831433	147.2	147.6
99	70.0183342904	183.6	183.9
100	79.6981835656	114.7	114.8
101	76.5460412578	150.4	150.0
102	63.8907300579	112.1	111.9
103	72.1696973048	125.2	125.3
104	79.6784704704	184	183.9
105	78.8930635524	169.2	168.8
106	71.2024120665	140.2	140.6
107	NA	NA	NA
108	81.5928773	234.2	233.9
109	71.902745002	139.2	138.9
110	83.847173971	156.4	156.5
111	70.5031461695	126.6	126.3
112	NA	NA	NA
113	79.5055205097	154.1	154.5
114	71.1322801597	136.2	136.0
115	80.222768715	138.6	137.3
116	67.3995965041	111.5	111.7
117	78.4276885072	138.7	138.5
118	80.1229671333	154.8	154.5
119	67.6395038085	103.6	104.2
120	72.3929921364	151.6	151.2
121	75.1596667224	157.3	158.3
122	74.2766779053	138.5	137.7
123	80.928904694	140.6	139.8
126	67.4104001985	198.9	198.2
127	NA	NA	NA
128	NA	NA	NA
129	67.887673953	124.1	123.6
130	76.68154746	124.5	124.5
131	69.0826575915	121.6	121.7
132	87.187786161	143.9	143.7
133	67.1446618395	131.1	131.0
134	79.9760691975	154.1	153.9
135	64.1301060372	123.3	123.3
136	94.1328597258	186.8	186.6
137	NA	NA	NA
138	80.2967701354	140.2	140.4
139	60.5589791632	92.7	92.7
140	82.9900978074	169.9	169.1
141	78.605768238	152.5	152.5
142	58.80494394	121	119.3
143	71.569980192	100.8	100.7
144	NA	NA	NA
145	85.555992126	190.9	190.4
146	59.206846956	121.9	121.6
147	87.4350127332	213.7	213.7
148	66.8441821872	121.6	121.4
149	82.8284302164	165.5	165.3
150	71.2187404236	167.5	167.4
151	83.824239972	139	139.2
152	66.7705137792	120.8	121.5
153	NA	NA	NA
154	96.2637033732	223.9	224.2
155	93.4786484874	143.4	142.6
156	70.3616662848	114.7	114.6
157	76.6535969472	127.9	128.3
158	60.904293296	112.3	112.8
159	66.0951771172	120.9	122.2
160	77.7581156352	133.6	134.1
161	68.73150746	120.9	122.1
162	76.5971645356	140.6	142.3
163	72.3646165092	126	127.4
164	85.6994910453	169.3	171.3
165	85.9449902163	148.9	150.9
166	74.2158225769	144.6	146.8
167	79.568823674	144.6	144.4
168	78.5362403294	157	156.6
169	71.1972064926	119.6	119.5
170	75.6277795184	183	183.7
171	73.6150750108	125.9	125.4
172	84.7005866208	181.2	181.0
173	83.8596285708	137.8	138.0
174	78.4389015024	176.9	180.4
175	NA	NA	NA
176	NA	NA	NA
177	67.012848738	151.6	152.8
178	65.348637018	105.6	106.4
179	67.3203819654	116	117.1
180	62.1777470994	104.4	105.8
181	81.0571985118	145.8	145.1
182	81.5987147778	145.3	144.6
183	NA	NA	NA
184	83.5149037086	157.6	157.5
185	79.9938997428	139.1	138.4
186	63.5159747078	106.2	106.1
187	74.2798978092	136.8	137.0
188	74.676289852	154.5	154.6
189	81.366735154	224.3	224.3
190	71.637951378	143	142.9
191	68.6330308818	103.7	103.3
192	81.0516583296	177	175.9
193	88.5416397138	155.6	155.8
194	86.3029757016	210.5	210.0
195	78.46978692	118.4	118.0
196	81.7422493272	181.4	181.2
197	77.7657159612	139.3	139.0
198	73.8369222132	131.6	131.3
199	NA	NA	NA
200	71.8997546028	132.9	131.2
201	88.8684483688	173.4	171.7
202	78.8781439587	140.2	138.0
203	86.193845247	170.3	170.1
204	72.2779821666	154	153.6
205	73.6687191696	135.5	135.2
206	84.200223492	143.6	143.4
207	81.7020678705	146	145.0
208	53.288784318	161.6	161.3
209	63.1647103395	127	126.7
210	89.0152827795	174.9	174.8
211	66.780447552	124.4	124.9
212	59.350560996	155.5	155.2
213	69.84207138	128.7	129.0
214	78.262514664	136	136.4
215	70.877071608	163.9	163.9
216	71.9276777416	161.1	160.8
217	78.4359781072	162.8	163.2
218	79.9457649936	158.9	159.1
219	76.1560724408	137.8	137.4
220	72.0717873248	128	128.9
221	80.059299036	212.7	210.2
222	84.6675439113	202.3	201.9
223	77.7977050128	228.9	228.7
224	69.0287341794	139.1	139.4
225	77.3318335848	164.8	164.5
226	89.6543591282	154.7	155.7
227	89.9323532977	155.1	155.6
228	64.0537521125	129.9	130.4
229	NA	NA	NA
230	84.7290815366	170.2	169.7
231	72.0812321561	121	120.5
232	81.3294322726	201.4	201.3
233	76.3685231678	138.6	139.9
234	75.8373001424	123.8	123.4
235	66.7276911892	126.1	125.8
236	76.1062693522	157.3	157.2
237	69.0866305885	99.9	99.2
238	66.500264936	116.3	116.1
239	76.288391452	159.1	159.4
240	66.1503344495	134.4	134.5
241	70.0538143445	126.7	126.7
242	88.3160106213	177.3	177.0
243	75.5968380244	137.2	136.4
244	NA	NA	NA
245	80.1826886322	173.9	173.8
246	83.9148393853	176.8	175.9
247	65.094171681	116.4	116.0
248	78.8570092672	156.1	156.0
249	57.8096731098	90.3	90.5
250	76.8882664388	131.4	131.5
251	69.8703547662	111.7	110.9
252	69.7711217022	105.3	105.9
253	70.1202094452	115.9	115.8
254	84.4849042668	138.5	137.2
255	78.4058158854	133.5	133.6
256	69.2420213241	140.7	140.4
257	88.3852808427	175.2	174.1
258	83.4906210183	214	214.2
259	73.6549316532	130.8	131.3
260	83.3511579021	165.5	164.3
261	66.032126322	129	129.1
262	NA	NA	NA
263	66.474196626	141.7	140.8
264	82.776601755	183.2	182.8
265	66.913787369	112.6	110.6
266	82.273250872	143.2	141.9
267	69.44862326	130.5	130.5
268	79.334582415	155.2	154.0
269	66.195461655	137.5	137.1
270	60.261825625	86.3	86.3
271	79.609557525	131.3	130.9
272	86.074321924	145.7	144.0
273	80.3949317	186.3	185.1
274	60.623209516	96.1	96.3
275	77.84040906	126.3	127.0
276	72.509877468	106.1	104.8
277	63.3848372349	98	97.9
278	62.352903378	89.9	84.3
279	73.0326613173	147.7	148.9
280	60.0247985892	104.8	105.7
281	77.9629728207	144.3	143.1
282	78.8619546088	156.3	155.8
283	74.9791457576	167.1	166.4
284	82.9596895144	153.5	152.8
285	81.5810519944	170	169.7
286	73.3021569384	118.7	118.0
287	56.9923154208	100.8	100.0
288	71.4682810576	119.6	118.0
289	85.2346335648	159.1	159.2
290	73.842783108	164.5	164.9
291	74.7553967872	120.9	121.0
292	78.4268983876	184.7	184.3
293	64.0586468135	96.3	94.9
294	74.3407619041	137	136.7
295	81.7751569088	182.7	182.3
296	80.9565126597	175.9	176.7
297	70.40115053	114.7	115.3
298	78.0188164165	141.8	142.2
299	81.786143413	150.4	150.6
300	66.9436168552	126.6	127.2
301	77.4486804879	184.1	184.4
302	76.7456065197	181.6	181.0
303	73.8106814664	140.3	140.1
304	84.0393769077	165.3	165.2
305	71.1441188226	144.4	144.0
306	75.6136730808	184.3	179.8
307	NA	NA	NA
308	69.2272705392	111.7	109.3
309	76.8917335428	140.9	140.9
310	71.3093923404	142.5	142.7
311	64.5546389472	125.2	125.1
312	66.9136809825	130.5	130.3
313	86.3875515975	151.4	150.9
314	88.534910335	169.6	167.2
315	67.5099138125	129.3	131.3
316	67.6203797525	139.9	138.9
317	74.9978570664	145.5	145.2
318	63.9197087136	117.3	116.8
319	70.4101852536	128.4	127.4
320	66.329287	113.8	113.0
321	NA	NA	NA
322	77.6125664632	153.6	149.9
323	77.5353760713	119.4	119.2
324	72.3312583154	140.4	140.2
325	81.8101744509	109.9	111.2
326	69.4297442216	99.8	99.3
327	74.2008635319	150.5	150.7
328	58.8717979488	89.4	87.9
329	74.953827552	153.8	153.5
330	70.5031888032	130.9	127.1
331	75.2340121824	133.3	133.0
332	72.3458732736	149.6	149.1
333	74.676752091	159.2	157.3
334	69.202724976	155.3	155.0
335	74.089605717	118.9	114.6
336	81.365345532	153.2	153.3
337	78.132154428	142.1	141.8
338	80.7142511314	144.7	144.4
339	74.2568417016	121.7	121.6
340	80.9141292346	152.5	151.5
341	80.286143421	169.8	167.5
342	64.3270818194	149.5	148.8
343	82.3567213703	125.9	125.6
344	81.2331378248	139.5	139.4
345	72.2047091584	135.9	135.8
346	80.841214844	123.6	121.3
347	NA	NA	NA
348	72.5345066667	159.3	158.4
349	73.4220182983	123.0	123.1
350	58.8889367626	89.5	88.8
351	69.295767084	145.6	146.1
352	66.929792805	147.6	147.1
353	78.075382122	152.6	149.2
354	73.59747417	116.9	116.9
355	77.380485534	142.9	142.5
356	64.34954119	138.2	137.5
357	71.4373577236	146.8	146.2
358	78.9818598228	158.6	157.5
359	82.4727473196	138.6	138.5
360	63.6959718318	112.0	112.3
361	80.24586242	144.6	143.9
362	NA	NA	NA
