ID	Date	Box_code	Density	Sex_true	Sex_predicted	Disp	Time_sec	Active	Height	Diametre	PeristomeH
B1_1_D1_R1	02/06/2017	1	1	F	F	yes	590	1	13.8	10.5	6.1
B1_2_D1_R2	02/06/2017	2	1	F	F	no	180	1	14.7	10.5	6.1
B1_3_D1_R3	02/06/2017	3	1	M	M	yes	920	1	13.1	9.1	6.5
B1_16_D1_R4	06/06/2017	1	1	M	M	yes	823	1	13.1	9.4	6.3
B1_17_D1_R5	06/06/2017	2	1	F	F	yes	490	1	13.4	9.7	6.1
B1_18_D1_R6	06/06/2017	3	1	F	F	no	479	1	13.5	10.7	6.2
B1_19_D1_R7	06/06/2017	4	1	M	M	no	356	1	12.3	8.5	6.1
B1_20_D1_R8	06/06/2017	5	1	M	M	yes	25200	0	12.8	9.1	6.2
B1_21_D1_R9	06/06/2017	6	1	F	F	no	351	1	14.4	10.5	6.3
B1_22_D1_R10	06/06/2017	7	1	F	F	yes	600	1	13.7	10.4	6.3
B1_23_D1_R11	06/06/2017	8	1	F	F	no	441	1	14.6	10.4	6.7
B1_24_D1_R12	06/06/2017	9	1	F	F	yes	694	1	14.7	10.7	6.3
B1_25_D1_R13	06/06/2017	10	1	F	M	no	25200	0	12.3	9.1	6.5
B1_26_D1_R14	06/06/2017	11	1	M	M	no	397	1	12.3	9.2	5.8
B1_27_D1_R15	06/06/2017	12	1	F	M	no	720	1	13.1	9.7	6.1
B1_28_D1_R16	06/06/2017	13	1	M	M	no	303	1	12.4	9.4	5.7
B1_29_D1_R17	06/06/2017	14	1	M	M	no	25200	0	12.1	9.6	5.6
B1_30_D1_R18	06/06/2017	15	1	F	F	no	270	1	13.1	10.1	6.1
B1_31_D1_R19	06/06/2017	16	1	M	M	yes	387	1	12.8	9.6	6.6
B1_32_D1_R20	06/06/2017	17	1	M	M	no	228	1	12.8	9.4	5.8
B3_126_D1_R21	16/06/2017	24	1	F	F	yes	620	1	13.1	10.2	6.5
B1_34_D1_R22	06/06/2017	19	1	F	F	no	276	1	14.1	10.9	6.4
