ID	Date	Days	Week	Box_code	Density	Sex_true	Sex_predicted	Disp	Dispersal_matrix	Time_sec	Active	Height	Diametre	PeristomeH
B1_1_D1_R1	02/06/17	0	0	1	1	F	F	yes	3	590	1	13.8	10.5	6.1
B1_2_D1_R2	02/06/17	0	0	2	1	F	F	no	0	180	1	14.7	10.5	6.1
B1_3_D1_R3	02/06/17	0	0	3	1	M	M	yes	3	920	1	13.1	9.1	6.5
B1_16_D1_R4	06/06/17	4	0	1	1	M	M	yes	3	823	1	13.1	9.4	6.3
B1_17_D1_R5	06/06/17	4	0	2	1	F	F	yes	3	490	1	13.4	9.7	6.1
B1_18_D1_R6	06/06/17	4	0	3	1	F	F	no	0	479	1	13.5	10.7	6.2
B1_19_D1_R7	06/06/17	4	0	4	1	M	M	no	0	356	1	12.3	8.5	6.1
B1_20_D1_R8	06/06/17	4	0	5	1	M	M	yes	3	25200	0	12.8	9.1	6.2
B1_21_D1_R9	06/06/17	4	0	6	1	F	F	no	0	351	1	14.4	10.5	6.3
B1_22_D1_R10	06/06/17	4	0	7	1	F	F	yes	3	600	1	13.7	10.4	6.3
B1_23_D1_R11	06/06/17	4	0	8	1	F	F	no	0	441	1	14.6	10.4	6.7
B1_24_D1_R12	06/06/17	4	0	9	1	F	F	yes	3	694	1	14.7	10.7	6.3
B1_25_D1_R13	06/06/17	4	0	10	1	F	M	no	0	25200	0	12.3	9.1	6.5
B1_26_D1_R14	06/06/17	4	0	11	1	M	M	no	0	397	1	12.3	9.2	5.8
B1_27_D1_R15	06/06/17	4	0	12	1	F	M	no	0	720	1	13.1	9.7	6.1
B1_28_D1_R16	06/06/17	4	0	13	1	M	M	no	0	303	1	12.4	9.4	5.7
B1_29_D1_R17	06/06/17	4	0	14	1	M	M	no	0	25200	0	12.1	9.6	5.6
B1_30_D1_R18	06/06/17	4	0	15	1	F	F	no	0	270	1	13.1	10.1	6.1
B1_31_D1_R19	06/06/17	4	0	16	1	M	M	yes	3	387	1	12.8	9.6	6.6
B1_32_D1_R20	06/06/17	4	0	17	1	M	M	no	0	228	1	12.8	9.4	5.8
B3_126_D1_R21	16/06/17	14	2	24	1	F	F	yes	3	620	1	13.1	10.2	6.5
B1_34_D1_R22	06/06/17	4	0	19	1	F	F	no	0	276	1	14.1	10.9	6.4
B1_35_D1_R23	06/06/17	4	0	20	1	M	M	no	0	230	1	12.4	9.5	5.8
B1_36_D1_R24	06/06/17	4	0	21	1	M	M	yes	3	670	1	12.3	9.2	6.1
B1_37_D1_R25	06/06/17	4	0	22	1	M	M	no	0	25200	0	12.5	9.3	6
B1_38_D1_R26	06/06/17	4	0	23	1	M	M	yes	3	25200	0	12.1	9.1	5.6
B1_39_D1_R27	06/06/17	4	0	24	1	M	M	yes	3	25200	0	12.6	9.3	5.7
